"DOT_category","dot_title_norm","SOC","soc_title_norm"
"561","treating engineer","51-9051.00","furnace kiln oven drier and kettle operators and tenders"
"561","stain applicator","51-9124.00","coating painting and spraying machine setters operators and tenders"
"561","pole inspector","51-9061.00","inspectors testers sorters samplers and weighers"
"561","tanker","51-9161.00","computer numerically controlled tool operators"
"561","tanker","51-9162.00","computer numerically controlled tool programmers"
"561","tanker","51-9199.00","production workers all other"
"561","treating engineer helper","51-9198.00","helpers production workers"
"562","whiting machine operator","51-9124.00","coating painting and spraying machine setters operators and tenders"
"562","log cooker","51-9051.00","furnace kiln oven drier and kettle operators and tenders"
"562","humidifier operator","51-9161.00","computer numerically controlled tool operators"
"562","humidifier operator","51-9162.00","computer numerically controlled tool programmers"
"562","humidifier operator","51-9199.00","production workers all other"
"562","steam tunnel feeder","53-7063.00","machine feeders and offbearers"
"562","dyer","51-9123.00","painting coating and decorating workers"
"563","supervisor drying","51-1011.00","first line supervisors of production and operating workers"
"563","kiln operator","51-9051.00","furnace kiln oven drier and kettle operators and tenders"
"563","bark press operator","51-9041.00","extruding forming pressing and compacting machine setters operators and tenders"
"563","sticker","53-7063.00","machine feeders and offbearers"
"563","antichecking iron worker","51-9161.00","computer numerically controlled tool operators"
"563","antichecking iron worker","51-9162.00","computer numerically controlled tool programmers"
"563","antichecking iron worker","51-9199.00","production workers all other"
"563","moisture tester","51-9061.00","inspectors testers sorters samplers and weighers"
"564","wood crew supervisor","51-1011.00","first line supervisors of production and operating workers"
"564","log chipper operator","51-9021.00","crushing grinding and polishing machine setters operators and tenders"
"564","chipping machine operator","51-7042.00","woodworking machine setters operators and tenders except sawing"
"564","flake cutter operator","51-9032.00","cutting and slicing machine setters operators and tenders"
"564","knife setter grinder machine","49-9043.00","maintenance workers machinery"
"564","wood scrap handler","53-7063.00","machine feeders and offbearers"
"564","chopper","51-9198.00","helpers production workers"
"569","gasket supervisor","51-1011.00","first line supervisors of production and operating workers"
"569","treating inspector","51-9061.00","inspectors testers sorters samplers and weighers"
"569","line tender flakeboard","51-9041.00","extruding forming pressing and compacting machine setters operators and tenders"
"569","crew leader gluing","51-9191.00","adhesive bonding machine operators and tenders"
"569","incising machine operator","51-7042.00","woodworking machine setters operators and tenders except sawing"
"569","grinder hardboard","51-9021.00","crushing grinding and polishing machine setters operators and tenders"
"569","kiln transfer operator","53-7051.00","industrial truck and tractor operators"
"569","log peeler","51-9031.00","cutters and trimmers hand"
"569","stacker machine","53-7199.00","material moving workers all other"
"569","varnisher","51-9124.00","coating painting and spraying machine setters operators and tenders"
"569","veneer taper","51-9161.00","computer numerically controlled tool operators"
"569","veneer taper","51-9162.00","computer numerically controlled tool programmers"
"569","veneer taper","51-9199.00","production workers all other"
"569","back feeder plywood layup line","53-7063.00","machine feeders and offbearers"
"569","clamp remover","51-9198.00","helpers production workers"
"569","screen cleaner","53-7061.00","cleaners of vehicles and equipment"
