applicant_id,DOT_category,job_norm,predicted_SOC,predicted_SOC_title,similarity_score,method,alt1_SOC,alt1_SOC_title,alt1_score,alt2_SOC,alt2_SOC_title,alt2_score,alt3_SOC,alt3_SOC_title,alt3_score
160620,39.0,software engineer,15-1252.00,software developers,0.7368320226669312,global_similarity,15-1252.00,software developers,0.7368320226669312,15-1253.00,software quality assurance analysts and testers,0.5792960524559021,15-1221.00,computer and information research scientists,0.4917108118534088
161372,160.0,senior accountant,13-2011.00,accountants and auditors,0.26890331506729126,global_similarity,13-2011.00,accountants and auditors,0.26890331506729126,13-1071.00,human resources specialists,0.2035263329744339,43-1011.00,first line supervisors of office and administrative support workers,0.19849678874015808
161452,7.0,mechanical engineer,17-2141.00,mechanical engineers,0.717542827129364,global_similarity,17-2141.00,mechanical engineers,0.717542827129364,17-3027.00,mechanical engineering technologists and technicians,0.6059089303016663,17-2199.08,robotics engineers,0.5845538377761841
162581,30.0,power engineer,49-2092.00,electric motor power tool and related repairers,0.3062678873538971,global_similarity,49-2092.00,electric motor power tool and related repairers,0.3062678873538971,17-2199.10,wind energy engineers,0.2932842969894409,51-8011.00,nuclear power reactor operators,0.2727609872817993
162663,160.0,audit development program auditor,11-3131.00,training and development managers,0.21232429146766663,global_similarity,11-3131.00,training and development managers,0.21232429146766663,13-1151.00,training and development specialists,0.19591112434864044,43-1011.00,first line supervisors of office and administrative support workers,0.19507735967636108
164198,30.0,software development engineer,15-1252.00,software developers,0.5534238815307617,global_similarity,15-1252.00,software developers,0.5534238815307617,15-1253.00,software quality assurance analysts and testers,0.43510088324546814,15-1221.00,computer and information research scientists,0.3047299087047577
164397,160.0,tax associate,13-2082.00,tax preparers,0.44280382990837097,global_similarity,13-2082.00,tax preparers,0.44280382990837097,25-4012.00,curators,0.3359796404838562,13-2011.00,accountants and auditors,0.22099672257900238
164640,30.0,senior systems analyst,15-1299.08,computer systems engineers architects,0.3299701511859894,global_similarity,15-1299.08,computer systems engineers architects,0.3299701511859894,15-1211.00,computer systems analysts,0.31013694405555725,13-1082.00,project management specialists,0.2794943153858185
164956,30.0,big data developer,51-9199.00,production workers all other,0.3019140362739563,global_similarity,51-9199.00,production workers all other,0.3019140362739563,51-9161.00,computer numerically controlled tool operators,0.28758299350738525,51-9162.00,computer numerically controlled tool programmers,0.28353914618492126
164967,20.0,data scientist,15-2051.00,data scientists,0.2572735548019409,global_similarity,15-2051.00,data scientists,0.2572735548019409,15-1211.00,computer systems analysts,0.24606378376483917,19-1011.00,animal scientists,0.24386312067508698
165138,73.0,veterinarian dvm,29-1131.00,veterinarians,0.3676423728466034,global_similarity,29-1131.00,veterinarians,0.3676423728466034,11-1011.00,chief executives,0.0,11-1011.00,chief executives,0.0
165241,30.0,system administrator,11-3013.00,facilities managers,0.2810900807380676,global_similarity,11-3013.00,facilities managers,0.2810900807380676,11-3013.00,facilities managers,0.27474895119667053,11-3061.00,purchasing managers,0.268797367811203
166377,30.0,software developer engineer in tes,15-1252.00,software developers,0.38684672117233276,global_similarity,15-1252.00,software developers,0.38684672117233276,11-9041.00,architectural and engineering managers,0.3342660367488861,15-1253.00,software quality assurance analysts and testers,0.3041382133960724
166538,19.0,senior scientiest product,41-9011.00,demonstrators and product promoters,0.2239242047071457,global_similarity,41-9011.00,demonstrators and product promoters,0.2239242047071457,13-1071.00,human resources specialists,0.22240398824214935,43-1011.00,first line supervisors of office and administrative support workers,0.21690793335437775
166541,30.0,programmer analyst,15-1211.00,computer systems analysts,0.6076332330703735,global_similarity,15-1211.00,computer systems analysts,0.6076332330703735,15-1251.00,computer programmers,0.22645968198776245,15-1299.01,web administrators,0.2142922729253769
166544,29.0,data analyst,15-1241.00,computer network architects,0.3871660828590393,global_similarity,15-1241.00,computer network architects,0.3871660828590393,15-1231.00,computer network support specialists,0.3707824647426605,15-2051.00,data scientists,0.31592562794685364
166634,30.0,machine learing engineer software,15-1252.00,software developers,0.7228097319602966,global_similarity,15-1252.00,software developers,0.7228097319602966,15-1253.00,software quality assurance analysts and testers,0.5682716965675354,15-1221.00,computer and information research scientists,0.2712973952293396
166840,30.0,hardware development engineer,17-2061.00,computer hardware engineers,0.35103198885917664,global_similarity,17-2061.00,computer hardware engineers,0.35103198885917664,51-4041.00,machinists,0.22760583460330963,13-1082.00,project management specialists,0.22093282639980316
167145,7.0,sr vehicle safety engineer,17-2111.00,health and safety engineers except mining safety engineers and inspectors,0.43683165311813354,global_similarity,17-2111.00,health and safety engineers except mining safety engineers and inspectors,0.43683165311813354,19-5011.00,occupational health and safety specialists,0.21005111932754517,49-3092.00,recreational vehicle service technicians,0.16097086668014526
167596,22.0,formulation r d scientist,15-1211.00,computer systems analysts,0.35986000299453735,global_similarity,15-1211.00,computer systems analysts,0.35986000299453735,19-1011.00,animal scientists,0.35664159059524536,19-2032.00,materials scientists,0.3548383116722107
167826,30.0,supply demand planner,11-2021.00,marketing managers,0.2581997811794281,global_similarity,11-2021.00,marketing managers,0.2581997811794281,53-7065.00,stockers and order fillers,0.2534770369529724,41-3021.00,insurance sales agents,0.2325759381055832
168181,30.0,software development engineer,15-1252.00,software developers,0.5534238815307617,global_similarity,15-1252.00,software developers,0.5534238815307617,15-1253.00,software quality assurance analysts and testers,0.43510088324546814,15-1221.00,computer and information research scientists,0.3047299087047577
168471,30.0,sdet soft dev engr in test soc,51-4041.00,machinists,0.2090199589729309,global_similarity,51-4041.00,machinists,0.2090199589729309,51-9199.00,production workers all other,0.19134755432605743,51-9198.00,helpers production workers,0.18420039117336273
168578,30.0,implementation spec,11-1011.00,chief executives,0.0,global_similarity,11-1011.00,chief executives,0.0,11-1011.00,chief executives,0.0,11-1011.00,chief executives,0.0
168856,30.0,software quality assurance enginee,15-1253.00,software quality assurance analysts and testers,0.8807229399681091,global_similarity,15-1253.00,software quality assurance analysts and testers,0.8807229399681091,15-1253.00,software quality assurance analysts and testers,0.8538882732391357,11-3051.01,quality control systems managers,0.3837864398956299
169346,30.0,java developer,15-1252.00,software developers,0.3809318244457245,global_similarity,15-1252.00,software developers,0.3809318244457245,51-9199.00,production workers all other,0.34448206424713135,51-9161.00,computer numerically controlled tool operators,0.32813045382499695
169400,30.0,jr computer systems engineer 1,15-1299.08,computer systems engineers architects,0.6140061020851135,global_similarity,15-1299.08,computer systems engineers architects,0.6140061020851135,15-1211.00,computer systems analysts,0.44709518551826477,15-1211.00,computer systems analysts,0.4324226975440979
169450,7.0,occ mgr,11-1011.00,chief executives,0.0,global_similarity,11-1011.00,chief executives,0.0,11-1011.00,chief executives,0.0,11-1011.00,chief executives,0.0
169591,30.0,software development engineer syst,15-1252.00,software developers,0.5534238815307617,global_similarity,15-1252.00,software developers,0.5534238815307617,15-1253.00,software quality assurance analysts and testers,0.43510088324546814,15-1221.00,computer and information research scientists,0.3047299087047577
170050,30.0,software developer,15-1252.00,software developers,0.48146307468414307,global_similarity,15-1252.00,software developers,0.48146307468414307,15-1253.00,software quality assurance analysts and testers,0.37852540612220764,51-9199.00,production workers all other,0.2902626097202301
170092,20.0,statistician,15-2041.00,statisticians,0.37165504693984985,global_similarity,15-2041.00,statisticians,0.37165504693984985,15-2041.01,biostatisticians,0.3626059591770172,15-2051.00,data scientists,0.1487746238708496
170189,30.0,software development engineer,15-1252.00,software developers,0.5534238815307617,global_similarity,15-1252.00,software developers,0.5534238815307617,15-1253.00,software quality assurance analysts and testers,0.43510088324546814,15-1221.00,computer and information research scientists,0.3047299087047577
170298,30.0,software engineer,15-1252.00,software developers,0.7368320226669312,global_similarity,15-1252.00,software developers,0.7368320226669312,15-1253.00,software quality assurance analysts and testers,0.5792960524559021,15-1221.00,computer and information research scientists,0.4917108118534088
170336,12.0,quality engineer ii,17-2112.02,validation engineers,0.31016820669174194,global_similarity,17-2112.02,validation engineers,0.31016820669174194,19-4099.01,quality control analysts,0.2979043126106262,11-3051.01,quality control systems managers,0.2931008040904999
170531,160.0,accounting manager,43-3031.00,bookkeeping accounting and auditing clerks,0.4346087574958801,global_similarity,43-3031.00,bookkeeping accounting and auditing clerks,0.4346087574958801,43-1011.00,first line supervisors of office and administrative support workers,0.2691698372364044,43-3031.00,bookkeeping accounting and auditing clerks,0.2537965774536133
170685,39.0,market research analyst,13-1161.00,market research analysts and marketing specialists,0.8440870046615601,global_similarity,13-1161.00,market research analysts and marketing specialists,0.8440870046615601,13-1161.00,market research analysts and marketing specialists,0.7733799815177917,11-2011.00,advertising and promotions managers,0.5805570483207703
171042,19.0,exempt non officer,41-1012.00,first line supervisors of non retail sales workers,0.21881935000419617,global_similarity,41-1012.00,first line supervisors of non retail sales workers,0.21881935000419617,41-1012.00,first line supervisors of non retail sales workers,0.21030525863170624,41-1012.00,first line supervisors of non retail sales workers,0.20901994407176971
171891,,public relations specialist,27-3031.00,public relations specialists,0.5732678174972534,global_similarity,27-3031.00,public relations specialists,0.5732678174972534,11-2032.00,public relations managers,0.5274308323860168,11-2032.00,public relations managers,0.5044217109680176
172776,30.0,business systems analyst,15-1299.08,computer systems engineers architects,0.36174407601356506,global_similarity,15-1299.08,computer systems engineers architects,0.36174407601356506,15-1211.00,computer systems analysts,0.34000107645988464,13-1082.00,project management specialists,0.30640774965286255
172777,30.0,coe expert,27-1025.00,interior designers,0.37320688366889954,global_similarity,27-1025.00,interior designers,0.37320688366889954,43-9061.00,office clerks general,0.36948516964912415,51-9061.00,inspectors testers sorters samplers and weighers,0.3693661391735077
172959,39.0,risk analyst catastrophe modeling,13-2054.00,financial risk specialists,0.45048317313194275,global_similarity,13-2054.00,financial risk specialists,0.45048317313194275,13-2054.00,financial risk specialists,0.44106078147888184,11-3031.00,financial managers,0.2733590006828308
